name,steamId,qlstatsId,teamId,isCaptain
mb,76561197960272854,15179,1,true
Swannie,76561198141963745,13128,1,false
Vajayyjay,76561198245897312,12865,1,false
akm,76561197999973917,41751,1,false
vetch,76561199012894740,353301,1,false
Raul,76561199097019657,324132,2,true
Glyde,76561198386782115,314199,2,false
qkumbr,76561197960401021,8816,2,false
xihaa,76561199012275674,336354,2,false
hotmessexpress,76561197969359592,75191,2,false
Myq.L,76561197999906906,11429,3,true
PHoNSC,76561198000485849,18603,3,false
Krypa,76561198144307152,319457,3,false
twigs,76561198059884645,47021,3,false
ST01C,76561199060977936,303757,3,false
namastex,76561198018740741,45164,4,true
Genesis,76561198141287198,341337,4,false
LeX,76561197962957566,186545,4,false
bentley,76561198258074752,1719,4,false
jesse,76561198032545531,2123,4,false
kgb,76561199208048427,341877,5,true
carnage,76561197988197730,14719,5,false
bubbly,76561198257346788,6177,5,false
powertrain,76561198211024669,2087,5,false
nosferatu,76561197995403023,72944,5,false
pyro,76561197981998614,69588,5,false
Snuffles,76561198183125809,51687,6,true
PURE,76561198257125819,1213,6,false
mdo,76561198842927027,256558,6,false
Joby,76561198077378045,36156,6,false
Rusty,76561198215231092,73770,6,false
penguin,76561197960318045,29130,6,false
Torrin,76561199222915892,346090,7,true
nemesis,76561198041661428,377271,7,false
demex,76561197966260715,1891,7,false
chalq,76561198094488175,243787,7,false
ziggeh,76561198095252278,46504,7,false
Lanf3ust,76561198006274665,3953,8,true
pyro,76561197981998614,69588,8,false
akm,76561197999973917,41751,8,false
powertrain,76561198211024669,2087,8,false
16B,76561198100514837,270070,8,false
Plungus,76561197969505978,351935,8,false
Br1an,76561197980792423,141907,8,false
Tlog,76561198035788236,51,8,false
Vigilante,76561199587074621,380500,9,true
ziggeh,76561198095252278,46504,9,false
Fingaz,76561198155655088,2752,9,false
rewket,76561197966047744,114456,9,false
doppelganger,76561199260820710,357084,9,false
icel0re,76561197992966131,1299,9,false
Grimlock US,76561199073916245,308379,9,false
rehash,76561198070720898,47819,10,true
dj,76561198017275284,69118,10,false
over,76561197990660854,5893,10,false
boogeyman,76561198053592254,30542,10,false
posT,76561198277142780,298250,10,false
bio,76561197970530011,84614,10,false
Kibbles,76561197995199007,213837,10,false
K1NG,76561197968064858,10844,10,false
z0,76561198072629213,86443,11,true
cows,76561198915416195,377766,11,false
duck,76561198176052581,172057,11,false
rage,76561198004809583,15010,11,false
r3served,76561198020900695,69522,11,false
NitroAim,76561198374691426,362269,11,false
TurtleTower,76561198355685559,354636,11,false
solo,76561198429256518,228964,11,false
Minionsman,76561198034620063,300672,12,true
Erebux,76561197982297069,12774,12,false
tiny,76561198010743348,11116,12,false
The 80s,76561197960473725,40700,12,false
festiveturtle,76561198252674402,2122,12,false
Flood,76561197993295652,1676,12,false
klug,76561198068282925,197352,12,false
Thanos,76561198079171731,4437,12,false
Vetch,76561199012894740,353301,13,true
Fourtet,76561198068937417,1228,13,false
Tyrone,76561197970850365,50443,13,false
Jesse,76561198032545531,2123,13,false
Snuffles,76561198183125809,51687,13,false
kcz,76561198187874375,95687,13,false
brut,76561198040089156,2088,13,false
Adren,76561198208499293,356625,13,false
Lampyre,76561198259152971,300685,14,true
nosferatu,76561197995403023,72944,14,false
Pl4gue,76561197970493674,47454,14,false
Swannie,76561198141963745,13128,14,false
hans,76561198022365723,5548,14,false
miles,76561198097541565,80075,14,false
z1strikt,76561199221758791,349792,14,false
prophz,76561197960362547,451,14,false
Napalm3D,76561198128636420,22000,15,true
Ice9,76561197979437611,9418,15,false
chalq,76561198094488175,243787,15,false
qkumbr,76561197960401021,8816,15,false
jbacc,76561199195972242,355566,15,false
Skybernaut,76561197975323163,7622,15,false
Super Grover,76561198000966992,2874,15,false
Deathr0w,76561197982775338,22658,16,true
Psygib,76561197994432845,1747,16,false
Effortless,76561197987086570,10346,16,false
SK1NNER,76561199367757199,357506,16,false
werdvl,76561197960683696,52257,16,false
